,City,Property_crime,Population,Murder,Robbery,Theft,MV,Arson,Asslt,Population^2
0,Abernathy,12,2821,0,0,0,0,1,0,7958041
1,Abilene,4769,119401,1,1,3460,254,16,314,1371696913
2,Addison,784,15961,1,1,593,62,1,35,254753521
3,Alamo,1336,18876,0,1,1052,81,1,126,356303376
4,Alamo Heights,235,7443,0,1,194,5,0,5,55398249
5,Alice,1208,19673,0,1,929,43,14,135,387026929
6,Allen,1205,91289,0,1,985,50,13,36,-256253071
7,Alton,325,14756,1,1,223,33,2,3,217739536
8,Alvarado,161,3813,0,1,101,10,1,12,14538969
9,Alvin,668,25110,1,1,513,38,0,27,630512100
10,Amarillo,8154,196577,1,1,5643,695,50,821,-12188735
11,Andrews,321,12529,0,1,220,27,4,70,156975841
12,Angleton,512,19016,1,1,410,16,4,38,361608256
13,Anna,103,8634,0,1,52,5,1,5,74545956
14,Anson,33,2332,0,0,18,0,0,4,5438224
15,Anthony,140,5201,0,1,118,2,0,2,27050401
16,Aransas Pass,467,8316,0,1,311,21,3,24,69155856
17,Arcola,26,1663,0,0,10,8,0,5,2765569
18,Argyle,21,3554,0,1,14,2,0,2,12630916
19,Arlington,15000,378765,1,1,10879,940,38,1152,1729004457
20,Arp,0,986,0,0,0,0,0,0,972196
21,Atlanta,240,5575,0,1,184,4,0,13,31080625
22,Aubrey,57,2730,0,1,46,1,2,4,7452900
23,Azle,469,11304,0,1,346,19,2,21,127780416
24,Baird,27,1492,0,0,13,0,0,2,2226064
25,Balch Springs,1393,25186,1,1,996,136,0,121,634334596
26,Balcones Heights,373,2840,0,1,326,30,0,6,8065600
27,Ballinger,116,3738,0,1,56,2,0,7,13972644
28,Bangs,6,1586,0,0,2,2,0,0,2515396
29,Bastrop,494,7447,0,1,426,32,3,14,55457809
30,Bay City,706,17429,1,1,485,9,2,45,303770041
31,Bayou Vista,25,1551,0,0,17,0,0,1,2405601
32,Baytown,3653,73709,1,1,2373,364,14,136,1138049385
33,Beaumont,6192,118177,1,1,3987,283,40,731,1080901441
34,Bedford,1349,48513,1,1,1039,66,2,153,-1941456127
35,Bee Cave,138,5172,0,0,129,4,0,2,26749584
36,Beeville,379,13181,1,1,294,15,3,26,173738761
37,Bellaire,328,17617,0,1,269,12,2,4,310358689
38,Bellmead,1180,9950,0,1,1031,43,1,121,99002500
39,Bellville,115,4136,0,1,85,4,0,12,17106496
40,Belton,878,19734,0,1,718,8,1,60,389430756
41,Benbrook,499,22157,1,1,390,30,1,19,490932649
42,Bertram,17,1359,0,0,11,0,0,1,1846881
43,Beverly Hills,94,2006,0,1,63,6,0,6,4024036
44,Big Sandy,4,1368,0,0,3,0,0,0,1871424
45,Big Spring,1176,27640,1,1,817,51,3,118,763969600
46,Bishop,46,3174,0,1,37,1,0,2,10074276
47,Blanco,42,1800,0,1,30,0,0,2,3240000
48,Blue Mound,25,2466,0,0,21,2,0,0,6081156
49,Boerne,363,11857,0,1,319,19,0,19,140588449
50,Bogata,49,1136,0,0,32,4,0,10,1290496
51,Bonham,282,10050,0,1,217,4,2,7,101002500
52,Borger,519,13034,0,1,335,43,0,132,169885156
53,Bovina,20,1841,0,0,12,0,0,4,3389281
54,Bowie,311,5163,0,0,242,8,5,6,26656569
55,Brady,127,5560,0,0,87,3,0,8,30913600
56,Brazoria,67,3054,0,1,46,6,0,11,9326916
57,Breckenridge,90,5638,0,0,67,5,1,3,31787044
58,Brenham,430,16268,1,1,330,12,4,46,264647824
59,Bridge City,118,7926,0,1,85,4,0,7,62821476
60,Brookshire,91,4784,0,1,59,7,2,16,22886656
61,Brookside Village,9,1548,0,1,4,1,0,2,2396304
62,Brownfield,194,9636,1,1,115,7,2,33,92852496
63,Brownsville,7838,181590,1,1,6441,257,9,275,-1384810268
64,Brownwood,828,18873,0,1,647,26,0,43,356190129
65,Bryan,2311,78578,1,1,1683,89,24,250,1879534788
66,Buda,252,10098,0,1,221,14,0,5,101969604
67,Bullard,45,2638,0,0,40,1,0,1,6959044
68,Bulverde,58,4783,0,0,44,2,0,5,22877089
69,Burkburnett,311,10829,0,1,228,8,0,26,117267241
70,Burleson,1003,39714,0,1,786,55,3,37,1577201796
71,Burnet,118,6075,0,1,80,8,0,18,36905625
72,Cactus,35,3241,0,1,14,4,2,19,10504081
73,Caddo Mills,39,1375,0,0,17,4,0,0,1890625
74,Caldwell,25,4175,1,0,22,2,0,7,17430625
75,Calvert,18,1177,0,0,9,1,0,4,1385329
76,Cameron,197,5367,0,1,147,1,0,13,28804689
77,Canyon,115,14026,0,1,95,7,1,12,196728676
78,Carrollton,2960,127459,1,1,2048,206,10,105,-934072503
79,Carthage,366,6918,0,1,263,12,0,29,47858724
80,Castle Hills,335,4273,0,1,284,9,0,2,18258529
81,Castroville,44,2754,0,1,35,1,1,2,7584516
82,Cedar Hill,1506,46918,1,1,1137,70,5,45,-2093668572
83,Cedar Park,851,59948,0,1,710,28,0,56,-701204592
84,Celina,56,6786,1,0,38,1,0,4,46049796
85,Center,235,5328,1,1,183,13,2,32,28387584
86,Chillicothe,9,697,0,0,5,1,1,0,485809
87,Cibolo,233,21690,0,1,181,8,1,10,470456100
88,Cisco,189,3837,0,0,119,3,2,4,14722569
89,Clarksville,61,3229,0,1,36,1,0,28,10426441
90,Cleburne,977,29327,0,1,720,43,0,58,860072929
91,Cleveland,687,7635,0,1,548,46,8,57,58293225
92,Clint,8,923,0,0,7,1,0,0,851929
93,Clyde,59,3706,0,0,36,2,1,3,13734436
94,Cockrell Hill,105,4317,0,1,62,12,2,11,18636489
95,Coleman,183,4544,0,0,85,4,1,10,20647936
96,College Station,2230,98919,0,1,1750,48,0,308,1195033969
97,Colleyville,174,24289,0,1,131,4,0,5,589955521
98,Collinsville,19,1631,0,0,8,0,0,1,2660161
99,Colorado City,125,4084,0,1,79,3,0,33,16679056
100,Columbus,101,3611,1,0,80,7,1,5,13039321
101,Comanche,135,4234,0,0,102,0,0,18,17926756
102,Combes,33,3035,0,0,20,3,0,2,9211225
103,Commerce,212,8267,0,1,138,13,1,12,68343289
104,Conroe,2071,62962,1,1,1550,105,1,126,-330753852
105,Converse,460,20115,0,1,368,23,4,105,404613225
106,Coppell,580,40449,0,1,450,30,1,12,1636121601
107,Copperas Cove,1127,33780,0,1,863,21,10,63,1141088400
108,Corinth,230,20692,0,1,179,13,0,7,428158864
109,Corpus Christi,14601,314523,1,1,11519,487,46,1384,140469721
110,Corrigan,62,1559,0,0,45,3,0,5,2430481
111,Corsicana,1209,23940,1,1,879,27,2,72,573123600
112,Crandall,54,3016,0,0,27,5,1,7,9096256
113,Crane,9,3563,0,0,6,2,0,3,12694969
114,Crockett,310,6595,0,1,249,5,1,22,43494025
115,Crosbyton,27,1758,1,0,19,0,0,0,3090564
116,Crowell,0,921,0,0,0,0,0,0,848241
117,Crowley,360,13804,1,1,256,15,0,9,190550416
118,Cuero,261,7011,0,1,207,5,0,75,49154121
119,Cumby,7,789,0,0,2,3,1,2,622521
120,Daingerfield,140,2513,0,1,104,2,2,9,6315169
121,Dalhart,174,8340,0,0,121,4,0,51,69555600
122,Dalworthington Gardens,37,2337,0,1,17,10,0,0,5461569
123,Danbury,8,1730,0,0,4,0,0,0,2992900
124,Decatur,291,6244,0,1,267,14,0,7,38987536
125,De Kalb,54,1663,0,0,26,3,0,4,2765569
